Index,Company,sector,annual_return_log,Std,Skewness,Kurtosis
139,DVN,Energy,-0.461858562,1.0326967089126602,-1.408697277,11.222041260284227
140,DXCM,Health Care,0.4457424092573738,0.575387068974292,-0.569147231,3.54733963305957
141,FANG,Energy,-0.699234681,1.1303296172780217,-2.21525215,20.386470967909503
142,DLR,Real Estate,0.10633183955878761,0.4476823221956498,0.005706107570406916,4.217840966732525
143,DFS,Financials,0.08073963853061474,0.893215606902376,-1.100455141,8.697535013177864
144,DISCA,Communication Services,-0.165847325,0.5332157962216598,-0.364530528,0.9517106827917745
145,DISCK,Communication Services,-0.241204997,0.530082501652469,-0.382798098,1.239165961087144
146,DISH,Communication Services,-0.231817173,0.6588257420936722,-0.448005543,3.296473846991466
147,DG,Consumer Discretionary,0.3260421294768635,0.3192634525185465,0.2580166461635255,9.540168223341592
148,DLTR,Consumer Discretionary,0.24356106810559594,0.492949128668444,-0.532080649,9.359298984820262
149,D,Utilities,-0.085801731,0.4674548060950731,-0.270584834,8.53401604188083
150,DPZ,Consumer Discretionary,0.36789387028856796,0.43418821673567354,2.246083707094982,21.05446691891002
151,DOV,Industrials,0.07569141391393477,0.48638881478081697,-1.05021646,8.546365253083298
152,DOW,Materials,0.11482104777059815,0.6535776727169638,-1.042336001,7.953153898079002
153,DTE,Utilities,-0.094884875,0.5002271270489281,-0.800433725,6.343454443211231
154,DUK,Utilities,-0.02433038,0.42947825163585546,-0.046336989,5.651652398210322
155,DRE,Real Estate,0.11312795491258552,0.48747704493329774,-0.607890973,10.350753453682376
156,DD,Materials,0.16882507191750182,0.5304751966771913,-0.330747623,3.2408195526381745
157,DXC,Information Technology,-0.432314544,0.9748684578015446,0.33988397777997964,9.397154006510657
158,EMN,Materials,0.3727230779519559,0.5352287118818603,-0.725173175,4.208352627748195
159,ETN,Industrials,0.2677327059909462,0.5303743204931155,0.40825272415795616,8.312808875357788
160,EBAY,Consumer Discretionary,0.41926658362068936,0.3946872266555465,-0.20518927,0.6513936931315571
161,ECL,Materials,0.11503995202256725,0.5006949123565392,0.2302167589485204,9.421201114097483
162,EIX,Utilities,-0.224884613,0.47140879252654017,-0.405466873,4.916728083857243
163,EW,Health Care,0.0648007714330217,0.45517193682399804,0.29744777478732937,5.074903590356515
164,EA,Communication Services,0.24437598402777974,0.37647554741607225,-0.075299282,3.385143132135325
165,EMR,Industrials,0.07949331699918676,0.5668858002606646,-1.01198313,8.199014188378785
166,ETR,Utilities,-0.256339603,0.48924868266792054,-0.591688512,7.869195153563737
167,EOG,Energy,-0.518796219,0.7996529210089471,-1.685405089,14.453667657120274
168,EFX,Industrials,0.26160867426200807,0.43356462285635305,-0.109785652,1.8422858603560908
169,EQIX,Real Estate,0.20623392363046855,0.4199047559207473,-0.10105827,4.79768676845463
170,EQR,Real Estate,-0.361440239,0.5275020821637794,-0.210383461,5.120165450761551
171,ESS,Real Estate,-0.278138839,0.5277756856446257,-0.946296542,7.781247619012165
172,EL,Consumer Staples,0.17458348757321088,0.42773156662144735,-0.804505563,4.804257165326644
173,ETSY,Consumer Discretionary,1.431414109871232,0.7316049456434728,-0.346064692,3.314894081228216
174,EVRG,Utilities,-0.250767366,0.5143583095922821,-0.561139023,9.236070103093766
175,ES,Utilities,-0.060004745,0.4674675369507182,0.030556467927340583,7.089202375358594
176,RE,Financials,-0.192044778,0.5171367655215177,-0.470229162,3.6461303713555546
177,EXC,Utilities,-0.109832822,0.5075955450577437,-0.007781881,8.587581176341297
178,EXPE,Consumer Discretionary,0.1300779936743446,0.7351590285582387,-0.204774051,6.530772697262819
179,EXPD,Industrials,0.27901208681288164,0.32509516788847626,-0.199232617,8.57580448279695
180,EXR,Real Estate,0.04850285014534691,0.4328599727812394,-1.127809783,6.8644761548188775
181,XOM,Energy,-0.432901362,0.5488425169302141,0.0007965434903614273,2.230114364546706
182,FFIV,Information Technology,0.2750245681068869,0.42826481059547533,-0.188619476,2.6614590594465044
183,FB,Communication Services,0.22563613830867818,0.4759778595736509,-0.41945516,3.6904389300578213
184,FAST,Industrials,0.38776789901312325,0.4013301174751756,-0.051005332,4.738889710599874
185,FRT,Real Estate,-0.423103155,0.6932916157079201,0.1503410614439476,12.778473590038502
186,FDX,Industrials,0.6032103146083467,0.545270284377687,-0.475775052,3.99409040362917
187,FIS,Information Technology,-0.046509425,0.46620874771842497,-0.645286407,9.725804303768193
188,FITB,Financials,-0.023224992,0.7695856392383985,-0.518173324,4.843707778812098
189,FE,Utilities,-0.495767245,0.5674605718130727,-1.930039791,13.912674980363498
190,FRC,Financials,0.16741032438728803,0.4934852991491353,-0.378052415,4.741422419697604
191,FISV,Information Technology,-0.077884048,0.48898206278625395,-0.668126399,6.4746730873944305
192,FLT,Information Technology,-0.142147162,0.5578988087830573,0.15921147218973442,2.819649261814086
193,FLIR,Information Technology,-0.285632944,0.5960551280371165,-1.04108463,8.1194394357162
194,FLS,Industrials,-0.294122304,0.6637238581061242,-0.582942158,2.4314664166758044
195,FMC,Materials,0.18888770064140242,0.5380309454015222,-0.970052535,9.682637332809497
196,F,Consumer Discretionary,-0.012732613,0.578515272159663,0.5278489237923671,5.287276449557224
197,FTNT,Information Technology,0.2388362840217149,0.5632549198115533,0.21584442638528173,6.759816253303738
198,FTV,Industrials,0.07200758739706271,0.47996968202144985,-0.309159124,8.448435357711096
199,FBHS,Industrials,0.2804050589074781,0.5979529212725455,-0.455938927,4.342592051194315
200,FOXA,Communication Services,-0.356447637,0.506644794139255,-0.185913009,1.773308313198851
201,FOX,Communication Services,-0.347690899,0.4996482486761963,-0.218079124,1.957416164196088
202,BEN,Financials,0.013357908906538284,0.5660863575977736,-0.516767677,2.5735977173614497
203,FCX,Materials,0.7694311630985373,0.7345469694311139,-0.242243632,6.484791941719884
204,GPS,Consumer Discretionary,0.1682682585817561,0.966402166382081,0.03621943102144722,3.1441912758496864
205,GRMN,Consumer Discretionary,0.20266345237525976,0.38850946094966227,-0.14742762,2.7682055763111997
206,IT,Information Technology,-0.033033541,0.5061402047819046,0.18204489157326592,4.867326862696637
207,GD,Industrials,-0.193967146,0.41969607387560215,-0.402314897,2.7343779174891765
208,GE,Industrials,-0.080399825,0.6527422666191406,-0.180839255,1.9978146563290649
209,GIS,Consumer Staples,0.11329348839540233,0.3193697778992794,-0.377734714,9.885132637246958
